Tarih,TP DK USD A YTL,TP KTF10,TP HKFE01
2012-01,1.84,19.97,51.70
2012-02,1.75,19.42,52.50
2012-03,1.78,18.85,53.00
2012-04,1.78,18.54,53.60
2012-05,1.80,18.35,54.30
2012-06,1.82,18.10,54.70
2012-07,1.80,17.87,55.10
2012-08,1.79,17.48,55.40
2012-09,1.80,16.65,55.50
2012-10,1.79,16.31,55.70
2012-11,1.79,15.73,56.00
2012-12,1.78,14.25,56.40
2013-01,1.76,14.06,56.90
2013-02,1.77,13.76,57.60
2013-03,1.81,13.52,58.40
2013-04,1.80,13.45,59.20
2013-05,1.82,12.67,60.00
2013-06,1.89,11.82,60.60
2013-07,1.93,12.47,61.20
2013-08,1.95,13.12,61.50
2013-09,2.02,13.94,62.00
2013-10,1.99,13.81,62.50
2013-11,2.02,13.77,63.30
2013-12,2.06,13.57,63.60
2014-01,2.22,15.03,64.10
2014-02,2.21,16.83,64.80
2014-03,2.22,17.15,65.70
2014-04,2.13,16.87,66.80
2014-05,2.09,16.68,67.50
2014-06,2.12,15.96,68.20
2014-07,2.12,15.32,69.30
2014-08,2.16,15.08,70.20
2014-09,2.20,14.86,70.90
2014-10,2.26,14.91,71.50
2014-11,2.23,14.68,72.40
2014-12,2.29,14.39,73.10
2015-01,2.33,14.86,74.20
2015-02,2.46,14.89,75.40
2015-03,2.58,14.68,76.60
2015-04,2.65,14.84,77.70
2015-05,2.65,15.43,78.90
2015-06,2.70,15.68,79.90
2015-07,2.69,15.70,80.60
2015-08,2.85,16.05,81.10
2015-09,3.00,16.91,81.70
2015-10,2.93,17.70,82.70
2015-11,2.87,17.51,83.70
2015-12,2.92,17.33,84.50
2016-01,3.01,17.61,85.70
2016-02,2.94,17.94,86.60
2016-03,2.89,18.03,87.50
2016-04,2.83,17.85,88.60
2016-05,2.93,17.52,89.70
2016-06,2.92,17.33,90.50
2016-07,2.96,17.38,91.30
2016-08,2.96,17.52,92.30
2016-09,2.96,17.34,92.80
2016-10,3.07,16.72,93.50
2016-11,3.27,16.09,94.00
2016-12,3.49,16.20,94.80
2017-01,3.73,16.36,95.50
2017-02,3.67,16.72,96.70
2017-03,3.67,16.62,97.90
2017-04,3.65,16.88,98.70
2017-05,3.56,17.24,99.80
2017-06,3.52,17.35,100.30
2017-07,3.56,17.54,100.50
2017-08,3.51,17.91,100.80
2017-09,3.47,18.16,101.40
2017-10,3.66,18.54,102.20
2017-11,3.88,18.79,102.80
2017-12,3.85,19.36,103.40
2018-01,3.77,20.02,104.10
2018-02,3.78,20.18,104.80
2018-03,3.88,19.84,105.70
2018-04,4.05,19.98,107.10
2018-05,4.41,20.19,108.60
2018-06,4.63,23.11,109.10
2018-07,4.75,24.96,109.30
2018-08,5.73,28.82,108.70
2018-09,6.37,36.41,107.80
2018-10,5.86,38.72,108.50
2018-11,5.37,36.10,109.20
2018-12,5.31,33.59,108.00
2019-01,5.37,30.81,107.60
2019-02,5.26,26.42,108.60
2019-03,5.44,23.51,109.00
2019-04,5.74,25.94,109.30
2019-05,6.05,29.02,110.20
2019-06,5.81,29.18,111.00
2019-07,5.67,27.41,112.40
2019-08,5.62,23.09,114.40
2019-09,5.71,20.17,115.20
2019-10,5.78,18.34,116.00
2019-11,5.73,16.99,117.10
2019-12,5.84,15.98,118.80
2020-01,5.92,15.19,120.90
2020-02,6.04,14.36,123.70
2020-03,6.31,14.73,125.40
2020-04,6.82,12.39,127.50
2020-05,6.95,10.61,135.90
2020-06,6.81,12.67,139.50
2020-07,6.85,12.37,141.40
2020-08,7.25,16.54,144.40
2020-09,7.51,18.49,146.70
2020-10,7.87,19.50,149.90
2020-11,8.00,21.08,152.20
2020-12,7.72,22.76,154.90
2021-01,7.39,22.82,157.70
